expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
1051,2,28,60,45,0.4,1,0.2,0.735168195718654,19054
280,1,8,1.7,20,0.02,0,0.2,0.735113566605279,6701
672,1,28,1.1,2,0.1,1,0.5,0.73499322075681,43395
865,2,28,60,20,0.1,0,0.33,0.73448145344436,26525
676,2,28,60,2,0.1,1,0.5,0.733673841663626,38077
305,1,8,1.4,45,0.02,0,0.2,0.733634992458522,7876
727,2,28,60,45,0.1,1,0.5,0.733513447132506,37521
1062,1,8,2.4,2,0.4,1,0.33,0.733220847394076,10728
528,2,8,150,20,0.1,1,0.2,0.73312693498452,7779
485,2,28,100,45,0.02,0,0.5,0.732551106810209,33135
885,2,16,100,45,0.1,0,0.33,0.732391748745586,19553
468,1,8,1.45,45,0.02,0,0.5,0.731683290235193,23829
1100,1,16,1.4,20,0.4,1,0.33,0.730812429801572,27405
394,1,16,1.2,45,0.02,0,0.33,0.730776391733383,24408
1071,1,16,1.4,2,0.4,1,0.33,0.730619074177356,23201
642,2,16,100,45,0.1,1,0.33,0.730489849133917,21986
416,2,8,60,2,0.02,0,0.5,0.730444362835108,16184
313,1,16,1.2,45,0.02,0,0.2,0.730299328039096,19330
1128,2,16,100,45,0.4,1,0.33,0.729936543486375,23287
1147,2,8,150,2,0.4,1,0.5,0.72820763956905,17953
1419,2,8,150,20,0.4,0,0.5,0.727250459277404,15192
1046,2,16,60,45,0.4,1,0.2,0.726827776078311,16501
1044,1,16,1.35,45,0.4,1,0.2,0.726552984165652,16837
1213,2,28,60,45,0.4,1,0.5,0.726363303647676,37225
1338,2,8,150,20,0.4,0,0.33,0.726278724981468,13370
1014,2,8,150,20,0.4,1,0.2,0.725539231009691,7552
1189,2,28,60,20,0.4,1,0.5,0.725122549019608,37754
489,1,8,1.3,2,0.1,1,0.2,0.724854784469581,6911
400,2,16,150,45,0.02,0,0.33,0.724593301435407,18533
161,2,28,100,45,0.02,1,0.33,0.724352918949556,25529
933,2,8,150,20,0.1,0,0.5,0.724193548387097,17962
1027,2,28,60,20,0.4,1,0.2,0.723878255412614,18138
799,1,16,1.2,45,0.1,0,0.2,0.723720084822781,19578
958,2,8,100,45,0.1,0,0.5,0.723414634146341,15783
1075,2,16,100,2,0.4,1,0.33,0.723248582403512,24109
1291,2,16,150,45,0.4,0,0.2,0.723169191919192,20644
784,2,28,60,20,0.1,0,0.2,0.722829386763813,17508
1111,1,8,1.1,45,0.4,1,0.33,0.722500463735856,9034
386,1,8,1.4,45,0.02,0,0.33,0.722429906542056,13556
362,1,8,2,20,0.02,0,0.33,0.722053231939163,11657
654,1,8,1.45,2,0.1,1,0.5,0.721871518752321,13871
646,2,28,60,45,0.1,1,0.33,0.721565731166913,26037
284,2,8,100,20,0.02,0,0.2,0.721484610742305,7850
1183,2,16,60,20,0.4,1,0.5,0.721413721413721,38511
510,1,28,1.1,2,0.1,1,0.2,0.721346926166203,17260
404,2,28,100,45,0.02,0,0.33,0.720965595894317,21713
1090,1,8,1.7,20,0.4,1,0.33,0.720720720720721,10982
317,2,16,60,45,0.02,0,0.2,0.720679012345679,15756
442,1,8,1.7,20,0.02,0,0.5,0.720613496932515,17173
932,2,8,100,20,0.1,0,0.5,0.719757815396021,19039
443,1,8,2,20,0.02,0,0.5,0.719504719872502,14772
961,1,16,1.2,45,0.1,0,0.5,0.719420929947246,34466
242,2,28,100,45,0.02,1,0.5,0.719169567379413,35498
1372,2,16,150,45,0.4,0,0.33,0.719165435745938,25120
472,2,8,100,45,0.02,0,0.5,0.71890485629336,16071
1108,2,28,60,20,0.4,1,0.33,0.718814870730326,29007
670,2,16,100,2,0.1,1,0.5,0.717986860047105,32547
492,1,8,1.45,2,0.1,1,0.2,0.717909535452323,5649
375,2,16,150,20,0.02,0,0.33,0.717847769028871,17806
491,1,8,1.4,2,0.1,1,0.2,0.71780303030303,5615
572,1,8,1.4,2,0.1,1,0.33,0.71766472686315,9651
256,2,8,150,2,0.02,0,0.2,0.717519379844961,6374
752,2,16,150,2,0.1,0,0.2,0.717067234560389,16975
1257,2,8,150,20,0.4,0,0.2,0.716865625956535,7468
742,2,8,150,2,0.1,0,0.2,0.716736905478627,8321
589,2,16,100,2,0.1,1,0.33,0.716139954853273,23630
994,2,16,100,2,0.4,1,0.2,0.71609514983009,15693
365,2,8,100,20,0.02,0,0.33,0.715564869498952,9681
1132,2,28,60,45,0.4,1,0.33,0.715494546822114,27458
1022,2,16,100,20,0.4,1,0.2,0.71499227202473,14913
861,2,16,150,20,0.1,0,0.33,0.714927889117812,20469
757,2,28,60,2,0.1,0,0.2,0.714900153609831,17884
495,1,8,2.4,2,0.1,1,0.2,0.714592933947773,7560
663,1,16,1.2,2,0.1,1,0.5,0.714573623882101,31643
1184,2,16,100,20,0.4,1,0.5,0.714567901234568,38280
508,2,16,100,2,0.1,1,0.2,0.713843295137814,16595
254,2,8,60,2,0.02,0,0.2,0.713643178410795,9353
1346,2,16,100,20,0.4,0,0.33,0.713593138168935,23657
967,2,16,150,45,0.1,0,0.5,0.713112714605623,28482
651,1,8,1.3,2,0.1,1,0.5,0.71209117938553,13089
1209,2,16,100,45,0.4,1,0.5,0.712041884816754,30836
860,2,16,100,20,0.1,0,0.33,0.710609733358195,23963
966,2,16,100,45,0.1,0,0.5,0.710529519172246,29486
805,2,16,150,45,0.1,0,0.2,0.709073900841908,14630
1432,2,28,60,20,0.4,0,0.5,0.707800351141209,46408
755,1,28,1.3,2,0.1,0,0.2,0.707794161901896,21902
666,1,16,1.4,2,0.1,1,0.5,0.707328950572194,30558
488,1,8,1.2,2,0.1,1,0.2,0.707189139154582,5956
699,2,16,150,20,0.1,1,0.5,0.707187769695475,28528
913,2,16,100,2,0.1,0,0.5,0.707003217025489,31276
481,2,16,150,45,0.02,0,0.5,0.706728994956329,23499
1364,2,8,150,45,0.4,0,0.33,0.706610044313146,10988
1371,2,16,100,45,0.4,0,0.33,0.706581180463888,26821
1283,2,8,150,45,0.4,0,0.2,0.706382978723404,9309
919,2,28,60,2,0.1,0,0.5,0.70610073010766,38143
456,2,16,150,20,0.02,0,0.5,0.70540340488527,24906
779,2,16,100,20,0.1,0,0.2,0.704767726161369,18977
501,1,16,1.2,2,0.1,1,0.2,0.704296296296296,11229
855,1,16,1.3,20,0.1,0,0.33,0.70407205854757,24228
1453,2,16,150,45,0.4,0,0.5,0.704008992131885,36909
1363,2,8,100,45,0.4,0,0.33,0.703962264150943,9238
653,1,8,1.4,2,0.1,1,0.5,0.70345596432553,12156
446,2,8,100,20,0.02,0,0.5,0.703358666339789,15301
619,1,28,1.1,20,0.1,1,0.33,0.703292637809841,31754
852,2,8,150,20,0.1,0,0.33,0.70319208512227,12389
978,1,8,1.45,2,0.4,1,0.2,0.702686202686203,5907
904,2,8,150,2,0.1,0,0.5,0.702352794721773,15528
941,2,16,100,20,0.1,0,0.5,0.701510870900381,30607
462,2,28,150,20,0.02,0,0.5,0.700989373396849,32789
833,2,16,150,2,0.1,0,0.33,0.700971236458723,20743
914,2,16,150,2,0.1,0,0.5,0.700886262924668,28539
385,1,8,1.35,45,0.02,0,0.33,0.700885289131663,11259
977,1,8,1.4,2,0.4,1,0.2,0.700604229607251,6272
1444,2,8,100,45,0.4,0,0.5,0.700357892138714,21269
1047,2,16,100,45,0.4,1,0.2,0.700239808153477,18301
823,2,8,150,2,0.1,0,0.33,0.700183823529412,10910
800,1,16,1.3,45,0.1,0,0.2,0.699632578077159,16679
1399,2,16,100,2,0.4,0,0.5,0.699115044247788,31279
1366,1,16,1.2,45,0.4,0,0.33,0.699043690230639,33270
361,1,8,1.7,20,0.02,0,0.33,0.698924731182796,11046
838,2,28,60,2,0.1,0,0.33,0.698624976455076,30112
180,1,16,1.4,2,0.02,1,0.5,0.698033881538271,40842
1452,2,16,100,45,0.4,0,0.5,0.69802101148302,39954
1398,2,16,60,2,0.4,0,0.5,0.697803553800592,38523
347,2,16,150,2,0.02,0,0.33,0.697370840227983,20986
1000,2,28,60,2,0.4,1,0.2,0.696604938271605,17478
1347,2,16,150,20,0.4,0,0.33,0.696589861751152,27265
299,2,28,100,20,0.02,0,0.2,0.696456086286595,16501
319,2,16,150,45,0.02,0,0.2,0.696380496559976,12032
937,1,16,1.35,20,0.1,0,0.5,0.696342219466832,31485
568,1,8,1.1,2,0.1,1,0.33,0.696335078534031,9195
969,2,28,10,45,0.1,0,0.5,0.69632663191859,46387
537,2,16,150,20,0.1,1,0.2,0.695705900525178,14838
851,2,8,100,20,0.1,0,0.33,0.695316804407713,13236
1103,2,16,100,20,0.4,1,0.33,0.695011963924167,26911
487,1,8,1.1,2,0.1,1,0.2,0.694512946979038,6063
1081,2,28,60,2,0.4,1,0.33,0.694449635582134,27698
1228,2,8,150,2,0.4,0,0.2,0.69428750784683,7714
936,1,16,1.3,20,0.1,0,0.5,0.693910256410256,38805
1390,2,8,150,2,0.4,0,0.5,0.693852408525317,23352
303,1,8,1.3,45,0.02,0,0.2,0.6932208684786,6540
461,2,28,100,20,0.02,0,0.5,0.692354965585054,34735
304,1,8,1.35,45,0.02,0,0.2,0.692331574045328,9598
218,2,28,100,20,0.02,1,0.5,0.691293532338309,35040
1447,1,16,1.2,45,0.4,0,0.5,0.691276009024818,52586
803,2,16,60,45,0.1,0,0.2,0.691026827012026,12719
1270,2,28,60,20,0.4,0,0.2,0.690847872666055,20345
1319,2,16,150,2,0.4,0,0.33,0.690229459659511,26519
428,2,16,150,2,0.02,0,0.5,0.68976897689769,25523
1256,2,8,100,20,0.4,0,0.2,0.688971499380421,9655
903,2,8,100,2,0.1,0,0.5,0.688414785413049,19134
770,2,8,100,20,0.1,0,0.2,0.687710695678823,6840
51,2,16,150,20,0.02,1,0.2,0.687630402384501,12132
786,2,28,150,20,0.1,0,0.2,0.687575030012005,16247
877,2,8,100,45,0.1,0,0.33,0.687465488680287,11940
