expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
1,16,1.01,80,0.001,0.500,0.6487357461576599,39424
2,16,1.025,80,0.001,0.500,0.6525319567354966,43423
3,16,1.05,80,0.001,0.500,0.7022519780888619,32417
4,16,1.075,80,0.001,0.500,0.7470894228387417,29174
5,16,1.1,80,0.001,0.500,0.7516033547113962,40791
6,16,1.15,80,0.001,0.500,0.7663803680981595,66686
7,70,1.01,80,0.001,0.500,0.6931680038901046,134126
8,70,1.025,80,0.001,0.500,0.7272502778120755,151527
9,70,1.05,80,0.001,0.500,0.7466469792051187,112554
10,70,1.075,80,0.001,0.500,0.6841845546508759,102206
11,90,1.01,80,0.001,0.500,0.7948749690517455,191968
12,90,1.025,80,0.001,0.500,0.7723756906077348,170704
13,90,1.05,80,0.001,0.500,0.7992541951522685,103116
14,16,1.01,100,0.001,0.500,0.6247227015035741,52386
15,16,1.025,100,0.001,0.500,0.6793316831683168,31019
16,16,1.05,100,0.001,0.500,0.7222425796995237,28768
17,16,1.075,100,0.001,0.500,0.7549056842638309,26922
18,16,1.1,100,0.001,0.500,0.7232540861812778,32401
19,16,1.15,100,0.001,0.500,0.7645466847090663,31814
20,70,1.01,100,0.001,0.500,0.7772179896780536,183593
21,70,1.025,100,0.001,0.500,0.6849058955502929,123720
22,70,1.05,100,0.001,0.500,0.7218387971407444,103617
23,70,1.075,100,0.001,0.500,0.6585395887206009,78544
24,90,1.01,100,0.001,0.500,0.8037935706367779,153097
25,90,1.025,100,0.001,0.500,0.8132180358245831,153254
26,90,1.05,100,0.001,0.500,0.8049501292944219,105150
27,16,1.01,120,0.001,0.500,0.6278637770897832,33167
28,16,1.025,120,0.001,0.500,0.6903353057199211,28610
29,16,1.05,120,0.001,0.500,0.7953634085213033,27851
30,16,1.075,120,0.001,0.500,0.7239019534652233,26258
31,16,1.1,120,0.001,0.500,0.7323065639897323,30520
32,16,1.15,120,0.001,0.500,0.7239706431148153,43661
33,70,1.01,120,0.001,0.500,0.7266731802638007,131581
34,70,1.025,120,0.001,0.500,0.7766246602421547,100685
35,70,1.05,120,0.001,0.500,0.6970105366331781,98331
36,90,1.01,120,0.001,0.500,0.7881876227897839,143859
37,90,1.025,120,0.001,0.500,0.7942743834428058,129777
38,90,1.05,120,0.001,0.500,0.7742372047244095,101410
39,16,1.01,80,0.001,0.750,0.675285233522121,147041
40,16,1.025,80,0.001,0.750,0.6855813193990856,56303
41,16,1.05,80,0.001,0.750,0.7374009638160581,43935
42,16,1.075,80,0.001,0.750,0.7264559340031038,35376
43,16,1.1,80,0.001,0.750,0.7411928559724725,40068
44,16,1.15,80,0.001,0.750,0.7774606539998369,96881
45,70,1.01,80,0.001,0.750,0.7019845825815975,151679
46,70,1.025,80,0.001,0.750,0.7458835094617843,198996
47,70,1.05,80,0.001,0.750,0.7275414682213828,147926
48,70,1.075,80,0.001,0.750,0.7010081140890091,118611
49,90,1.01,80,0.001,0.750,0.77697960531748,213587
50,90,1.025,80,0.001,0.750,0.7835247459307609,207151
51,90,1.05,80,0.001,0.750,0.7899235637379798,154129
52,16,1.01,100,0.001,0.750,0.6671826625386997,50026
53,16,1.025,100,0.001,0.750,0.6439486802320831,43946
54,16,1.05,100,0.001,0.750,0.7127475959562751,35197
55,16,1.075,100,0.001,0.750,0.7597934764792657,122797
56,16,1.1,100,0.001,0.750,0.729957805907173,80959
57,16,1.15,100,0.001,0.750,0.7377576257213521,82971
58,70,1.01,100,0.001,0.750,0.7287632858202192,170075
59,70,1.025,100,0.001,0.750,0.6913781841933377,171464
60,70,1.05,100,0.001,0.750,0.7280427631578947,133287
61,70,1.075,100,0.001,0.750,0.662194224003927,109099
62,90,1.01,100,0.001,0.750,0.7786430287465828,245462
63,90,1.025,100,0.001,0.750,0.7964101303171871,194289
64,90,1.05,100,0.001,0.750,0.7914834717472724,176672
65,16,1.01,120,0.001,0.750,0.692530399536769,39680
66,16,1.025,120,0.001,0.750,0.6817098232634607,44047
67,16,1.05,120,0.001,0.750,0.7527784638182268,42814
68,16,1.075,120,0.001,0.750,0.7375390689258101,68864
69,16,1.1,120,0.001,0.750,0.7152960526315789,46409
70,16,1.15,120,0.001,0.750,0.7441287567745114,79442
71,70,1.01,120,0.001,0.750,0.7829495345418912,171863
72,70,1.025,120,0.001,0.750,0.7687408133268006,169818
73,70,1.05,120,0.001,0.750,0.7324861787276178,146311
74,90,1.01,120,0.001,0.750,0.7491075134910752,223120
75,90,1.025,120,0.001,0.750,0.7850758507585076,215836
76,90,1.05,120,0.001,0.750,0.7706057596822244,156533
77,16,1.01,80,0.005,0.500,0.8416095890410958,33640
78,16,1.025,80,0.005,0.500,0.8564153521301702,28293
79,16,1.05,80,0.005,0.500,0.8471707437608105,36164
80,16,1.075,80,0.005,0.500,0.8202787714320957,35636
81,16,1.1,80,0.005,0.500,0.842487684729064,34072
82,16,1.15,80,0.005,0.500,0.7898737280863063,42796
83,70,1.01,80,0.005,0.500,0.8102198747082668,104666
84,70,1.025,80,0.005,0.500,0.7618282890673255,113888
85,70,1.05,80,0.005,0.500,0.7141105798700502,94425
86,70,1.075,80,0.005,0.500,0.5551166522651525,76995
87,90,1.01,80,0.005,0.500,0.8259803921568627,138820
88,90,1.025,80,0.005,0.500,0.8045920256758425,127039
89,90,1.05,80,0.005,0.500,0.6700332553270107,107152
90,16,1.01,100,0.005,0.500,0.8404083156977468,30834
91,16,1.025,100,0.005,0.500,0.846249688512335,32454
92,16,1.05,100,0.005,0.500,0.8344329640234035,28988
93,16,1.075,100,0.005,0.500,0.8131585395736339,49655
94,16,1.1,100,0.005,0.500,0.8348269853124222,41578
95,16,1.15,100,0.005,0.500,0.7606646825396826,33436
96,70,1.01,100,0.005,0.500,0.8374648919281964,105354
97,70,1.025,100,0.005,0.500,0.8164729161513727,125329
98,70,1.05,100,0.005,0.500,0.7408852578953786,96457
99,70,1.075,100,0.005,0.500,0.612042209807573,70251
100,90,1.01,100,0.005,0.500,0.7743276283618582,147806
